ID, TIME, X, Y, Z
1, 6.614821, 0.023594, -0.364615, -0.036594
1, 6.632471, 0.021719, -0.363831, -0.042617
1, 6.651134, 0.019597, -0.363572, -0.042856
1, 6.670429, 0.029410, -0.362344, -0.036344
1, 6.689066, 0.020713, -0.363669, -0.028679
1, 6.708505, 0.015609, -0.363756, -0.030763
1, 6.727765, 0.016937, -0.363722, -0.027313
1, 6.745735, 0.014625, -0.363822, -0.027833
1, 6.763618, 0.013390, -0.363549, -0.024829
1, 6.781798, 0.012263, -0.363814, -0.023895
1, 6.804714, 0.026359, -0.361325, -0.020936
1, 6.824441, 0.022057, -0.361612, -0.016774
1, 6.843495, 0.021467, -0.361695, -0.008315
1, 6.861693, 0.010275, -0.361246, -0.003305
1, 6.880050, 0.013289, -0.361719, -0.005124
1, 6.897728, 0.017899, -0.361904, 0.001727
1, 6.915030, 0.023469, -0.361806, 0.003818
1, 6.932693, 0.027730, -0.362414, 0.003117
1, 6.950761, 0.024839, -0.360840, 0.019398
1, 6.970098, 0.022799, -0.362429, 0.021628
1, 6.988640, 0.020814, -0.361009, 0.035571
1, 7.006514, 0.016532, -0.362323, 0.039817
1, 7.024727, 0.013744, -0.361936, 0.051463
1, 7.042546, 0.012841, -0.363847, 0.055193
1, 7.060546, 0.011963, -0.365594, 0.057740
1, 7.078219, 0.005604, -0.367506, 0.059076
1, 7.095608, 0.004195, -0.369445, 0.060565
1, 7.113033, 0.004164, -0.369385, 0.068517
1, 7.130085, 0.001793, -0.369441, 0.074476
1, 7.147472, -0.000672, -0.370813, 0.076674
1, 7.164762, -0.003177, -0.370706, 0.083036
1, 7.182415, -0.006156, -0.371161, 0.087128
1, 7.199678, -0.006043, -0.371786, 0.090231
1, 7.217004, -0.006334, -0.372397, 0.092633
1, 7.234774, -0.005955, -0.372651, 0.095614
1, 7.253155, -0.008769, -0.372646, 0.098666
1, 7.270633, -0.010154, -0.373007, 0.101438
1, 7.288170, -0.004553, -0.374431, 0.099865
1, 7.306369, -0.006575, -0.374611, 0.099844
1, 7.325202, -0.007061, -0.374551, 0.101447
1, 7.343104, -0.007329, -0.375356, 0.100902
1, 7.360761, -0.008641, -0.375016, 0.102171
1, 7.378507, -0.011244, -0.375388, 0.100044
1, 7.395854, -0.010970, -0.377136, 0.093445
1, 7.413108, -0.012241, -0.378351, 0.089074
1, 7.429954, -0.007714, -0.377075, 0.090081
1, 7.446967, -0.007135, -0.377918, 0.086151
1, 7.463795, -0.009303, -0.378424, 0.079560
1, 7.480969, -0.005406, -0.378693, 0.075861
1, 7.498324, 0.000431, -0.378574, 0.075852
1, 7.516521, 0.001075, -0.380524, 0.064860
1, 7.535172, -0.001473, -0.381606, 0.057330
1, 7.553123, -0.001576, -0.382401, 0.054442
1, 7.571295, -0.009833, -0.382235, 0.051532
1, 7.589192, -0.004356, -0.380329, 0.057959
1, 7.607395, -0.003064, -0.378653, 0.064536
1, 7.626502, -0.001154, -0.379597, 0.061871
1, 7.644806, 0.002082, -0.381093, 0.048005
1, 7.662527, 0.013436, -0.380740, 0.040500
1, 7.680447, 0.015714, -0.381849, 0.034308
1, 7.698147, 0.012170, -0.380856, 0.042632
1, 7.715781, 0.003883, -0.381829, 0.039473
1, 7.734594, 0.006207, -0.382962, 0.032428
1, 7.753962, 0.008196, -0.383814, 0.026012
1, 7.773285, 0.004865, -0.384156, 0.020506
1, 7.792814, 0.003731, -0.382962, 0.002959
1, 7.816245, 0.006159, -0.383467, 0.000161
1, 7.834909, 0.009958, -0.383560, -0.007301
1, 7.854616, 0.011140, -0.383946, -0.008046
1, 7.874028, 0.013168, -0.384567, -0.002187
1, 7.894295, 0.005094, -0.384704, -0.000537
1, 7.913675, -0.000434, -0.384926, -0.004575
1, 7.932403, 0.002829, -0.385443, -0.004008
1, 7.950713, -0.000513, -0.385552, -0.001191
1, 7.969035, -0.001970, -0.385043, -0.007527
1, 7.989380, 0.001831, -0.385697, -0.001319
1, 8.008009, -0.001906, -0.385805, 0.001394
1, 8.026994, 0.004476, -0.385402, 0.001850
1, 8.045769, -0.003786, -0.384623, 0.001935
1, 8.063860, -0.000327, -0.384099, -0.002683
1, 8.082275, -0.000522, -0.383917, -0.008018
1, 8.101312, -0.010894, -0.382922, -0.004476
1, 8.119295, -0.011403, -0.382767, -0.012792
1, 8.139018, -0.006231, -0.382449, -0.014563
1, 8.159377, 0.003420, -0.382028, -0.014919
1, 8.178492, 0.014133, -0.380492, -0.019151
1, 8.198010, 0.001793, -0.379867, -0.009643
1, 8.216473, 0.002372, -0.379580, 0.000017
1, 8.234949, 0.010943, -0.379526, -0.003509
1, 8.253962, 0.008487, -0.379597, -0.010819
1, 8.272649, 0.007386, -0.378875, -0.021011
1, 8.292059, 0.005554, -0.378809, -0.025277
1, 8.311264, 0.005235, -0.378477, -0.010434
1, 8.329770, 0.004981, -0.378212, 0.001440
1, 8.348260, 0.012714, -0.378163, -0.003442
1, 8.366912, 0.017075, -0.378256, 0.001299
1, 8.385122, 0.027893, -0.376639, 0.002511
1, 8.404057, 0.031520, -0.377126, 0.004466
1, 8.423413, 0.024786, -0.377201, -0.005486
1, 8.443167, 0.019399, -0.377262, -0.013447
1, 8.462644, 0.006598, -0.377700, -0.012654
1, 8.480758, 0.006365, -0.377618, -0.000710
1, 8.498869, 0.006179, -0.377552, 0.008845
1, 8.516618, 0.006030, -0.377500, 0.016489
1, 8.534705, 0.005911, -0.377458, 0.022604
1, 8.553326, 0.005816, -0.377424, 0.027496
1, 8.572216, 0.005740, -0.377397, 0.031410
1, 8.591656, 0.005679, -0.377375, 0.034541
1, 8.612552, -0.001712, -0.377589, 0.031931
1, 8.631208, 0.007568, -0.377834, 0.021104
1, 8.649228, 0.014784, -0.377861, 0.012289
1, 8.667410, 0.011929, -0.378890, 0.010871
1, 8.685926, 0.009646, -0.379714, 0.009736
1, 8.705018, 0.009981, -0.380214, 0.013563
1, 8.724351, 0.010249, -0.380614, 0.016625
1, 8.743917, -0.000778, -0.380236, 0.011854
1, 8.763353, 0.008286, -0.380113, 0.012077
1, 8.781500, 0.007110, -0.379492, 0.019836
1, 8.799449, 0.006169, -0.378994, 0.026043
1, 8.818568, 0.004439, -0.379879, 0.022786
1, 8.836685, 0.013129, -0.379931, 0.013984
1, 8.855023, 0.020081, -0.379972, 0.006942
1, 8.873838, 0.015908, -0.379806, -0.002466
1, 8.892882, 0.013614, -0.379160, -0.014008
1, 8.913074, 0.012572, -0.379101, -0.021190
1, 8.931551, 0.011739, -0.379053, -0.026936
1, 8.950808, 0.010573, -0.380271, -0.028271
1, 8.969889, 0.022950, -0.379493, -0.025475
1, 8.989497, 0.013288, -0.380681, -0.023036
1, 9.008486, 0.010328, -0.380469, -0.026276
1, 9.027932, 0.007960, -0.380298, -0.028867
1, 9.047130, 0.006065, -0.380162, -0.030941
1, 9.065738, 0.003533, -0.381168, -0.028929
1, 9.083378, 0.008845, -0.381679, -0.030526
1, 9.101526, 0.005757, -0.382382, -0.028598
1, 9.119898, 0.003286, -0.382944, -0.027055
1, 9.139077, 0.001309, -0.383394, -0.025820
1, 9.158411, 0.003494, -0.382339, -0.033095
1, 9.177925, 0.001120, -0.382976, -0.030589
1, 9.197088, 0.003343, -0.382005, -0.036909
1, 9.215864, 0.007620, -0.381179, -0.042701
1, 9.234137, 0.011043, -0.380519, -0.047335
1, 9.252912, 0.014181, -0.380104, -0.051023
1, 9.272375, 0.016692, -0.379773, -0.053973
1, 9.290715, 0.006276, -0.381220, -0.041860
1, 9.310840, 0.005654, -0.381911, -0.027266
1, 9.329988, 0.010735, -0.382315, -0.029121
1, 9.348888, 0.008707, -0.382998, -0.031430
1, 9.368067, 0.009926, -0.383577, -0.030600
1, 9.387359, 0.010901, -0.384040, -0.029937
1, 9.406613, 0.011682, -0.384410, -0.029405
1, 9.426966, 0.009922, -0.384424, -0.020063
